
Relation :  FLAG  ==  TYPE  |  VARIANT << 5
                  ==  TYPE  +  VARIANT * 0x20
0x00  0x010  0x0200   0.06%  T51 course.kcl
0x00  0x010  0x0200   1.82%  T74 course.kcl
0x00  0x010  0x0200   1.96%  T42 course.kcl
0x00  0x010  0x0200   2.20%  T21 course.kcl
0x00  0x010  0x0200   3.35%  T31 course.kcl
0x00  0x010  0x0200   3.45%  T14 course.kcl

0x00  0x011  0x0220   0.08%  T73 course.kcl
0x00  0x011  0x0220   0.11%  T34 course.kcl
0x00  0x011  0x0220   0.13%  T43 course.kcl
0x00  0x011  0x0220   0.49%  T13 course.kcl
0x00  0x011  0x0220   1.67%  T74 course.kcl
0x00  0x011  0x0220   2.88%  T24 course.kcl

0x00  0x012  0x0240   0.98%  T74 course.kcl
0x00  0x012  0x0240   1.41%  T51 course.kcl
0x00  0x012  0x0240   1.76%  T43 course.kcl
0x00  0x012  0x0240   4.06%  T21 course.kcl

0x00  0x013  0x0260   0.14%  T22 course.kcl
0x00  0x013  0x0260   1.18%  T34 course.kcl

0x00  0x014  0x0280   2.09%  T74 course.kcl
0x00  0x014  0x0280   4.23%  T84 course.kcl

0x00  0x016  0x02c0   0.61%  T42 course.kcl

0x00  0x017  0x02e0   0.85%  T42 course.kcl
0x00  0x017  0x02e0   1.93%  T24 course.kcl
0x00  0x017  0x02e0   3.12%  T22 course.kcl

0x00  0x018  0x0300   1.25%  T42 course.kcl
0x00  0x018  0x0300   2.24%  T32 course.kcl
0x00  0x018  0x0300   2.26%  T22 course.kcl
0x00  0x018  0x0300   3.22%  T14 course.kcl

0x00  0x019  0x0320   0.10%  T33 course.kcl
0x00  0x019  0x0320   0.35%  T24 course.kcl
0x00  0x019  0x0320   0.72%  T32 course.kcl

0x00  0x01a  0x0340   0.07%  T84 course.kcl
0x00  0x01a  0x0340  13.91%  T43 course.kcl

0x00  0x01b  0x0360   0.15%  T84 course.kcl
0x00  0x01b  0x0360   3.79%  T34 course.kcl

0x00  0x01c  0x0380   0.21%  T33 course.kcl

0x00  0x01e  0x03c0   0.57%  T32 course.kcl

0x00  0x01f  0x03e0   0.04%  T32 course.kcl
0x00  0x01f  0x03e0   0.05%  T24 course.kcl
0x00  0x01f  0x03e0   0.10%  T42 course.kcl

0x00  0x021  0x0420   0.07%  T24 course.kcl

0x00  0x022  0x0440   0.84%  T22 course.kcl
0x00  0x022  0x0440   2.41%  T43 course.kcl

0x00  0x023  0x0460   0.15%  T22 course.kcl
0x00  0x023  0x0460   1.85%  T34 course.kcl

0x00  0x026  0x04c0   6.10%  T43 course.kcl

0x00  0x027  0x04e0   0.07%  T24 course.kcl

0x00  0x029  0x0520   0.61%  T34 course.kcl

0x00  0x02a  0x0540   0.17%  T43 course.kcl

0x00  0x045  0x08a0  47.14%  T23 course.kcl

0x00  0x04d  0x09a0   0.09%  T23 course.kcl

0x00  0x100  0x2000   0.05%  T11 course.kcl
0x00  0x100  0x2000   0.06%  T41 course.kcl
0x00  0x100  0x2000   0.23%  T42 course.kcl
0x00  0x100  0x2000 100.00%  T41 dc_pillar.kcl

0x00  0x101  0x2020   1.49%  T14 course.kcl
0x00  0x101  0x2020   1.51%  T64 course.kcl
0x00  0x101  0x2020   2.14%  T74 course.kcl

0x00  0x102  0x2040   0.04%  T84 course.kcl
0x00  0x102  0x2040   0.07%  T63 course.kcl
0x00  0x102  0x2040   0.13%  T82 course.kcl
0x00  0x102  0x2040   0.24%  T74 course.kcl
0x00  0x102  0x2040   0.61%  T34 course.kcl
0x00  0x102  0x2040   1.31%  T34 VolcanoPiece1.kcl

0x00  0x103  0x2060   0.09%  T54 course.kcl
0x00  0x103  0x2060   1.90%  T22 course.kcl

0x00  0x104  0x2080   0.02%  T12 course.kcl
0x00  0x104  0x2080   0.10%  T32 course.kcl
0x00  0x104  0x2080   0.20%  T83 course.kcl
0x00  0x104  0x2080   0.28%  T52 course.kcl
0x00  0x104  0x2080   0.29%  T53 course.kcl
0x00  0x104  0x2080   0.33%  T24 course.kcl
0x00  0x104  0x2080   0.35%  T22 course.kcl

0x00  0x108  0x2100   0.27%  T33 course.kcl

0x00  0x10a  0x2140   0.11%  T34 course.kcl

0x00  0x10b  0x2160   0.13%  T22 course.kcl
0x00  0x10b  0x2160   0.68%  T54 course.kcl

0x00  0x10c  0x2180   0.04%  T32 course.kcl
0x00  0x10c  0x2180   0.28%  T52 course.kcl

0x00  0x118  0x2300   0.08%  T43 course.kcl

0x00  0x11f  0x23e0   0.10%  T32 course.kcl

0x00  0x123  0x2460   0.15%  T22 course.kcl

0x00  0x145  0x28a0  15.86%  T23 course.kcl

0x00  0x200  0x4000  11.11%  T14 bulldozer_left.kcl
0x00  0x200  0x4000  11.11%  T14 bulldozer_right.kcl

0x00  0x201  0x4020   1.04%  T83 course.kcl
0x00  0x201  0x4020   6.99%  T64 course.kcl

0x00  0x204  0x4080   0.25%  T33 course.kcl

0x00  0x206  0x40c0   0.06%  T32 course.kcl
0x00  0x206  0x40c0   1.13%  T44 course.kcl

0x00  0x207  0x40e0   0.28%  T24 course.kcl
0x00  0x207  0x40e0   0.30%  T32 course.kcl
0x00  0x207  0x40e0   0.57%  T22 course.kcl

0x00  0x208  0x4100   0.04%  T43 course.kcl
0x00  0x208  0x4100   3.26%  T14 course.kcl

0x00  0x20b  0x4160   2.31%  T54 course.kcl

0x00  0x20c  0x4180   1.21%  T33 course.kcl

0x00  0x20e  0x41c0   0.03%  T32 course.kcl

0x00  0x20f  0x41e0   0.02%  T32 course.kcl
0x00  0x20f  0x41e0   0.61%  T22 course.kcl

0x00  0x210  0x4200   0.20%  T43 course.kcl

0x00  0x214  0x4280   0.25%  T33 course.kcl

0x00  0x217  0x42e0   0.66%  T22 course.kcl
0x00  0x217  0x42e0   2.44%  T32 course.kcl

0x00  0x218  0x4300   0.54%  T43 course.kcl
0x00  0x218  0x4300   0.98%  T32 course.kcl

0x00  0x21c  0x4380   0.08%  T33 course.kcl

0x00  0x21f  0x43e0   0.28%  T32 course.kcl

0x00  0x220  0x4400   4.22%  T43 course.kcl

0x00  0x245  0x48a0   1.95%  T23 course.kcl

----------------------------------------------------
*** Slippery Road 1 ***
type variant  flag  percent  track + subfile
----------------------------------------------------
0x01  0x000  0x0001  43.78%  T51 course.kcl
0x01  0x000  0x0001  43.89%  T62 course.kcl

0x01  0x001  0x0021   0.77%  T82 course.kcl
0x01  0x001  0x0021  17.86%  T73 course.kcl

0x01  0x008  0x0101   1.31%  T51 course.kcl
0x01  0x008  0x0101   4.37%  T62 course.kcl

0x01  0x009  0x0121   3.11%  T73 course.kcl

0x01  0x010  0x0201   0.20%  T51 course.kcl

0x01  0x011  0x0221   1.15%  T73 course.kcl

0x01  0x019  0x0321   0.60%  T73 course.kcl

0x01  0x045  0x08a1  14.92%  T41 course.kcl
0x01  0x045  0x08a1  34.41%  T71 course.kcl

0x01  0x04d  0x09a1   1.85%  T41 course.kcl
0x01  0x04d  0x09a1   1.92%  T71 course.kcl

0x01  0x145  0x28a1   0.91%  T71 course.kcl

----------------------------------------------------
*** Weak Off-road ***
type variant  flag  percent  track + subfile
----------------------------------------------------
0x02  0x001  0x0022   6.74%  T34 VolcanoPiece9.kcl
0x02  0x001  0x0022  14.29%  T34 VolcanoPiece13.kcl
0x02  0x001  0x0022  14.66%  T34 course.kcl
0x02  0x001  0x0022  14.86%  T34 VolcanoPiece16.kcl
0x02  0x001  0x0022  15.08%  T34 VolcanoPiece0.kcl
0x02  0x001  0x0022  15.08%  T34 VolcanoPiece18.kcl
0x02  0x001  0x0022  18.18%  T34 VolcanoPiece14.kcl
0x02  0x001  0x0022  19.28%  T34 VolcanoPiece1.kcl
0x02  0x001  0x0022  20.00%  T34 VolcanoPiece4.kcl
0x02  0x001  0x0022  22.48%  T34 VolcanoPiece3.kcl
0x02  0x001  0x0022  24.19%  T34 VolcanoPiece2.kcl
0x02  0x001  0x0022  28.90%  T34 VolcanoPiece11.kcl

0x02  0x002  0x0042   0.22%  T22 course.kcl
0x02  0x002  0x0042  33.70%  T62 course.kcl

0x02  0x003  0x0062   7.15%  T42 course.kcl

0x02  0x005  0x00a2   0.24%  T22 course.kcl

0x02  0x006  0x00c2   3.74%  T32 course.kcl

0x02  0x007  0x00e2   0.29%  T34 course.kcl

0x02  0x00f  0x01e2   1.91%  T34 course.kcl
0x02  0x00f  0x01e2  28.57%  T34 VolcanoPiece7.kcl
0x02  0x00f  0x01e2  48.39%  T34 VolcanoPiece8.kcl
0x02  0x00f  0x01e2  53.73%  T34 VolcanoPiece5.kcl

0x02  0x011  0x0222   0.11%  T34 course.kcl

0x02  0x017  0x02e2   0.82%  T34 course.kcl

0x02  0x01e  0x03c2   2.47%  T32 course.kcl

0x02  0x01f  0x03e2   1.80%  T34 course.kcl

0x02  0x027  0x04e2   0.86%  T34 course.kcl

----------------------------------------------------
*** Off-road ***
type variant  flag  percent  track + subfile
----------------------------------------------------
0x03  0x000  0x0003   0.14%  T13 course.kcl
0x03  0x000  0x0003   0.28%  T21 course.kcl
0x03  0x000  0x0003   1.03%  T72 course.kcl
0x03  0x000  0x0003   1.88%  T54 course.kcl
0x03  0x000  0x0003   5.57%  T11 course.kcl
0x03  0x000  0x0003  25.11%  T81 course.kcl

0x03  0x001  0x0023   0.17%  T63 course.kcl
0x03  0x001  0x0023   0.64%  T83 course.kcl
0x03  0x001  0x0023   4.45%  T64 course.kcl

0x03  0x002  0x0043   2.23%  T64 course.kcl
0x03  0x002  0x0043   4.17%  T14 course.kcl

0x03  0x004  0x0083   0.94%  T33 course.kcl
0x03  0x004  0x0083   1.42%  T43 course.kcl
0x03  0x004  0x0083   1.84%  T63 course.kcl
0x03  0x004  0x0083   1.95%  T84 course.kcl
0x03  0x004  0x0083   2.76%  T82 course.kcl
0x03  0x004  0x0083   3.39%  T62 course.kcl
0x03  0x004  0x0083   3.78%  T32 course.kcl
0x03  0x004  0x0083   6.77%  T51 course.kcl
0x03  0x004  0x0083  10.06%  T13 course.kcl
0x03  0x004  0x0083  11.90%  T74 course.kcl
0x03  0x004  0x0083  12.25%  T11 course.kcl
0x03  0x004  0x0083  12.70%  T73 course.kcl
0x03  0x004  0x0083  13.68%  T21 course.kcl
0x03  0x004  0x0083  14.77%  T12 course.kcl
0x03  0x004  0x0083  20.59%  T54 course.kcl

0x03  0x007  0x00e3   0.07%  T22 course.kcl

0x03  0x008  0x0103   0.04%  T54 course.kcl
0x03  0x008  0x0103   2.27%  T13 course.kcl
0x03  0x008  0x0103   2.42%  T11 course.kcl
0x03  0x008  0x0103 100.00%  T41 dc_sandcone.kcl

0x03  0x009  0x0123   0.11%  T64 course.kcl
0x03  0x009  0x0123   0.16%  T63 course.kcl
0x03  0x009  0x0123   2.46%  T73 course.kcl

0x03  0x00a  0x0143   0.17%  T14 course.kcl

0x03  0x00c  0x0183   0.25%  T13 course.kcl
0x03  0x00c  0x0183   0.32%  T51 course.kcl
0x03  0x00c  0x0183   0.34%  T12 course.kcl
0x03  0x00c  0x0183   0.55%  T21 course.kcl
0x03  0x00c  0x0183   0.77%  T33 course.kcl
0x03  0x00c  0x0183   0.87%  T32 course.kcl
0x03  0x00c  0x0183   0.91%  T63 course.kcl
0x03  0x00c  0x0183   2.30%  T11 course.kcl
0x03  0x00c  0x0183   2.34%  T84 course.kcl
0x03  0x00c  0x0183   4.89%  T54 course.kcl

0x03  0x010  0x0203   0.08%  T21 course.kcl

0x03  0x014  0x0283   0.41%  T43 course.kcl
0x03  0x014  0x0283   0.71%  T82 course.kcl
0x03  0x014  0x0283   1.01%  T13 course.kcl
0x03  0x014  0x0283   1.40%  T51 course.kcl
0x03  0x014  0x0283   2.87%  T74 course.kcl
0x03  0x014  0x0283   3.13%  T73 course.kcl
0x03  0x014  0x0283   3.96%  T21 course.kcl

0x03  0x01c  0x0383   0.06%  T84 course.kcl
0x03  0x01c  0x0383   2.50%  T32 course.kcl

0x03  0x046  0x08c3   1.49%  T31 course.kcl

0x03  0x04e  0x09c3   1.37%  T31 course.kcl

0x03  0x0c5  0x18a3  14.71%  T41 course.kcl
0x03  0x0c5  0x18a3  21.98%  T71 course.kcl

0x03  0x0cd  0x19a3   2.62%  T71 course.kcl
0x03  0x0cd  0x19a3  12.86%  T41 course.kcl

----------------------------------------------------
*** Heavy Off-road ***
type variant  flag  percent  track + subfile
----------------------------------------------------
0x04  0x002  0x0044   0.05%  T63 course.kcl

0x04  0x003  0x0064   0.74%  T82 course.kcl

0x04  0x004  0x0084   0.85%  T22 course.kcl
0x04  0x004  0x0084   1.56%  T62 course.kcl

0x04  0x005  0x00a4   2.18%  T23 course.kcl

0x04  0x00a  0x0144   0.07%  T63 course.kcl
0x04  0x00a  0x0144   1.54%  T73 course.kcl

0x04  0x00c  0x0184   0.12%  T22 course.kcl

0x04  0x01a  0x0344   0.70%  T43 course.kcl

0x04  0x024  0x0484   0.25%  T22 course.kcl

0x04  0x086  0x10c4   3.89%  T41 course.kcl

0x04  0x08e  0x11c4   1.04%  T41 course.kcl

----------------------------------------------------
*** Slippery Road 2 ***
type variant  flag  percent  track + subfile
----------------------------------------------------
0x05  0x000  0x0005   4.93%  T61 course.kcl

0x05  0x008  0x0105   0.37%  T61 course.kcl

----------------------------------------------------
*** Boost Pad ***
type variant  flag  percent  track + subfile
----------------------------------------------------
0x06  0x000  0x0006   0.02%  T24 course.kcl
0x06  0x000  0x0006   0.02%  T32 course.kcl
0x06  0x000  0x0006   0.03%  T41 course.kcl
0x06  0x000  0x0006   0.08%  T73 course.kcl
0x06  0x000  0x0006   0.14%  T81 course.kcl
0x06  0x000  0x0006   0.16%  T22 course.kcl
0x06  0x000  0x0006   0.16%  T51 course.kcl
0x06  0x000  0x0006   0.17%  T14 course.kcl
0x06  0x000  0x0006   0.22%  T13 course.kcl
0x06  0x000  0x0006   0.26%  T64 course.kcl
0x06  0x000  0x0006   0.28%  T23 course.kcl
0x06  0x000  0x0006   0.29%  T33 course.kcl
0x06  0x000  0x0006   0.29%  T53 course.kcl
0x06  0x000  0x0006   0.35%  T52 course.kcl
0x06  0x000  0x0006   0.69%  T42 course.kcl
0x06  0x000  0x0006   1.33%  T44 course.kcl
0x06  0x000  0x0006   1.72%  T11 course.kcl
0x06  0x000  0x0006   8.33%  T63 TownBridgeDS.kcl
0x06  0x000  0x0006   8.33%  T63 TownBridgeDS2.kcl
0x06  0x000  0x0006  16.67%  T63 TownBridgeDS3.kcl

0x06  0x008  0x0106   0.03%  T31 course.kcl
0x06  0x008  0x0106   0.05%  T61 course.kcl
0x06  0x008  0x0106   0.07%  T22 course.kcl
0x06  0x008  0x0106   0.09%  T33 course.kcl
0x06  0x008  0x0106   0.14%  T52 course.kcl

0x06  0x010  0x0206   0.04%  T32 course.kcl
0x06  0x010  0x0206   0.05%  T24 course.kcl

0x06  0x018  0x0306   0.41%  T43 course.kcl

----------------------------------------------------
*** Boost Ramp ***
type variant  flag  percent  track + subfile
----------------------------------------------------
0x07  0x000  0x0007   0.02%  T22 course.kcl
0x07  0x000  0x0007   0.02%  T32 course.kcl
0x07  0x000  0x0007   0.05%  T44 course.kcl
0x07  0x000  0x0007   0.08%  T42 course.kcl
0x07  0x000  0x0007   0.09%  T23 course.kcl
0x07  0x000  0x0007   0.10%  T64 course.kcl
0x07  0x000  0x0007   8.33%  T63 TownBridgeDS.kcl

0x07  0x001  0x0027   0.02%  T12 course.kcl
0x07  0x001  0x0027   0.02%  T22 course.kcl
0x07  0x001  0x0027   0.02%  T32 course.kcl
0x07  0x001  0x0027   0.04%  T84 course.kcl
0x07  0x001  0x0027   0.06%  T41 course.kcl
0x07  0x001  0x0027   0.07%  T64 course.kcl
0x07  0x001  0x0027   0.08%  T44 course.kcl
0x07  0x001  0x0027   0.11%  T61 course.kcl
0x07  0x001  0x0027   0.11%  T72 course.kcl
0x07  0x001  0x0027   0.14%  T31 course.kcl
0x07  0x001  0x0027   0.21%  T34 course.kcl
0x07  0x001  0x0027   0.23%  T51 course.kcl
0x07  0x001  0x0027   0.33%  T14 course.kcl
0x07  0x001  0x0027   0.73%  T23 course.kcl
0x07  0x001  0x0027   8.33%  T63 TownBridgeDS2.kcl
0x07  0x001  0x0027  22.22%  T21 Mdush.kcl

0x07  0x008  0x0107   0.02%  T33 course.kcl

0x07  0x009  0x0127   0.03%  T31 course.kcl
0x07  0x009  0x0127   0.15%  T33 course.kcl

0x07  0x010  0x0207   0.02%  T24 course.kcl
0x07  0x010  0x0207   0.02%  T32 course.kcl

0x07  0x011  0x0227   0.02%  T24 course.kcl

0x07  0x018  0x0307   0.08%  T14 course.kcl

0x07  0x020  0x0407   0.04%  T43 course.kcl

0x07  0x021  0x0427   0.52%  T43 course.kcl

----------------------------------------------------
*** Jump Pad ***
type variant  flag  percent  track + subfile
----------------------------------------------------
0x08  0x000  0x0008   2.70%  T72 course.kcl

0x08  0x001  0x0028   0.14%  T53 course.kcl

0x08  0x002  0x0048   0.50%  T62 course.kcl

0x08  0x003  0x0068   0.07%  T13 course.kcl

0x08  0x004  0x0088  68.18%  T13 kinoko_r.kcl

0x08  0x006  0x00c8   0.42%  T52 course.kcl

0x08  0x00b  0x0168   0.11%  T13 course.kcl

0x08  0x00c  0x0188  68.18%  T13 kinoko_d_r.kcl

----------------------------------------------------
*** Item Road ***
type variant  flag  percent  track + subfile
----------------------------------------------------
0x09  0x000  0x0009   0.11%  T34 course.kcl
0x09  0x000  0x0009   0.23%  T71 course.kcl
0x09  0x000  0x0009   0.32%  T82 course.kcl
0x09  0x000  0x0009   0.78%  T32 course.kcl
0x09  0x000  0x0009   1.17%  T74 course.kcl
0x09  0x000  0x0009   1.22%  T54 course.kcl
0x09  0x000  0x0009   1.50%  T43 course.kcl
0x09  0x000  0x0009   1.73%  T14 course.kcl
0x09  0x000  0x0009   1.99%  T83 course.kcl
0x09  0x000  0x0009   3.81%  T31 course.kcl
0x09  0x000  0x0009   3.91%  T51 course.kcl
0x09  0x000  0x0009   4.69%  T21 course.kcl
0x09  0x000  0x0009   4.81%  T63 course.kcl
0x09  0x000  0x0009   5.16%  T22 course.kcl
0x09  0x000  0x0009  14.32%  T81 course.kcl

0x09  0x001  0x0029   0.25%  T52 course.kcl
0x09  0x001  0x0029   2.43%  T64 course.kcl

0x09  0x002  0x0049   0.03%  T51 course.kcl
0x09  0x002  0x0049   0.14%  T71 course.kcl
0x09  0x002  0x0049   0.40%  T24 course.kcl
0x09  0x002  0x0049   1.16%  T82 course.kcl

0x09  0x003  0x0069   0.05%  T71 course.kcl
0x09  0x003  0x0069   0.07%  T63 course.kcl
0x09  0x003  0x0069   0.10%  T51 course.kcl
